City,State,Median Price
Raleigh,NC,60
Durham,NC,60
Sacramento,CA,65
Cincinnati,OH,70
Silver Spring,MD,75
Albuquerque,NM,75
Bronx,NY,75
New Haven,CT,75
Orlando,FL,75
Portland,OR,79
San Antonio,TX,80
Pittsburgh,PA,80
Nashville,TN,80
Baltimore,MD,80
Eugene,OR,85
Phoenix,AZ,85
Providence,RI,85
Jersey City,NJ,85
Madison,WI,85
Denver,CO,86
Dallas,TX,87
Salt Lake City,UT,89
Atlanta,GA,89
Glendale,CA,90
Tucson,AZ,90
Oakland,CA,90
Long Island City,NY,96
Ann Arbor,MI,98
Minneapolis,MN,98
Pasadena,CA,99
Queens,NY,99
Houston,TX,100
San Jose,CA,100
Berkeley,CA,100
Philadelphia,PA,100
Somerville,MA,100
Long Beach,CA,100
Seattle,WA,100
Fort Lauderdale,FL,100
Chicago,IL,100
Carlsbad,CA,100
Tampa,FL,100
Boulder,CO,100
Alexandria,VA,104
Honolulu,HI,105
Paris,RI,105
Arlington,VA,106
Savannah,GA,107
Brooklyn,NY,110
Los Angeles,CA,110
Kissimmee,FL,110
Mountain View,CA,113
Davenport,FL,113
Colorado Springs,CO,113
Hollywood,FL,115
Palo Alto,CA,120
Santa Rosa,CA,120
Brookline,MA,120
Anchorage,AK,123
Naples,FL,125
Santa Cruz,CA,125
San Rafael,CA,125
Las Vegas,NV,125
Cambridge,MA,125
Charleston,SC,125
Scottsdale,AZ,129
West Hollywood,CA,129
Washington,DC,129
San Diego,CA,130
Sebastopol,CA,145
Taos,NM,148
Marina Del Rey,CA,150
San Francisco,CA,150
Louisville,KY,150
Miami,FL,150
Santa Monica,CA,150
New Orleans,LA,150
Miami Beach,FL,150
Mill Valley,CA,150
Venice,CA,155
Newport Beach,CA,160
Beverly Hills,CA,160
Boston,MA,160
New York,NY,170
Sunny Isles Beach,FL,180
Hermosa Beach,CA,189
Sausalito,CA,190
La Jolla,CA,195
Austin,TX,199
Napa,CA,200
Charlotte,NC,200
Sonoma,CA,200
Manhattan Beach,CA,209
Incline Village,NV,259
Laguna Beach,CA,268
Healdsburg,CA,275
Truckee,NV,275
Park City,UT,299
Malibu,CA,304
Indianapolis,IN,650
